BloodID,BirdID,BloodSource,CatchID,BloodTubeNumber,DoNotEditMe,MergeStatus
1,1758,A,2801,1000,-1484629761,
2,1757,A,2802,1001,1639692287,
3,1523,A,2803,1002,1397463807,
4,1891,A,3140,1003,233304575,
5,1759,A,2646,1004,1613688063,
6,1892,A,3144,1005,1392901119,
7,1894,A,3147,1006,1836895999,
8,1760,A,2807,1007,891573759,
9,2863,A,3312,1008,-922107649,
10,2864,A,3313,1009,-1127907329,
11,2865,A,3314,1010,-2092023041,
12,130,A,3338,1011,981465599,
13,2866,A,3315,1012,612816127,
14,2867,A,3316,1013,-1482800129,
15,2868,A,3317,1014,181663487,
16,2869,A,3318,1015,197058047,
17,2870,A,3319,1016,-1185273601,
18,1341,A,3340,1017,259278847,
19,2871,A,3320,1018,-1604195585,
20,2872,A,3321,1019,602210815,
21,1351,A,3341,1020,645381375,
22,2873,A,3322,1021,-412382209,
23,2874,A,3323,1022,-91480321,
24,2875,A,3324,1023,-1355389441,
25,2876,A,3325,1024,-149712641,
26,2877,A,3326,1025,1575489535,
27,2878,A,3327,1026,505844479,
28,2879,A,3328,1027,-281605633,
29,2880,A,3329,1028,1990305023,
30,2907,A,3366,1029,1619907583,
31,2908,A,3367,1030,-767211777,
32,2909,A,3368,1031,-559223297,
33,2910,A,3369,1032,-992610049,
34,2911,A,3370,1033,1614862335,
35,1457,A,3371,1034,1413233407,
36,2913,A,3372,1035,362156543,
37,2914,A,3373,1036,698649855,
38,2915,A,3374,1037,1428495359,
39,2916,A,3375,1038,1268739839,
40,1372,A,3376,1039,-314804737,
41,2918,A,3377,1040,-1455333121,
42,2919,A,3378,1041,43950079,
43,2920,A,3379,1042,-29170945,
44,1761,A,2959,1043,-467527169,
45,1705,A,2997,1044,-668961537,
46,912,A,2948,1045,2068931583,
47,1762,A,2973,1046,-1002793217,
48,1287,A,2914,1047,1108016639,
49,1763,A,2974,1048,-285882113,
50,1764,A,2975,1049,-450795521,
51,1222,A,2861,1050,-1143305473,
52,1684,A,3002,1051,-67427841,
53,1695,A,3004,1052,515202303,
54,1765,A,2976,1053,2100472831,
55,921,A,2949,1054,-1112097025,
56,221,A,2937,1055,-667515393,
57,1753,A,2983,1056,613626111,
58,1711,A,2960,1057,-605474817,
59,1040,A,2952,1058,-1868352769,
60,1743,A,2966,1059,-767481345,
61,1666,A,2984,1060,503530751,
62,1766,A,2977,1061,2028532735,
63,1673,A,2999,1062,1572071167,
64,1767,A,2978,1063,-1092678145,
65,1660,A,2996,1064,-1665558273,
66,609,A,2934,1065,1863710719,
67,1543,A,2931,1066,1681709823,
68,1553,A,2932,1067,806629887,
69,1504,A,2910,1068,-89510657,
70,1361,A,2916,1069,-2137768961,
71,1768,A,2979,1070,-305000705,
72,51,A,2936,1071,-1725655553,
73,1769,A,2980,1072,-301399809,
74,510,A,2958,1073,1523040255,
