Parent,OffID,BirthDate,SpouseID,Confidence,InferenceMethod,ParentageRef,HalfSibInference,MotherSource,FatherSource,ParentSex
,1,04/11/1996,,,,,FALSE,0,0,0
,2,01/01/1999,,,,,FALSE,0,0,0
,3,04/11/1996,,,,,FALSE,0,0,0
,4,04/11/1996,,,,,FALSE,0,0,0
,5,29/02/1996,,,,,FALSE,0,0,0
,6,02/03/1996,,,,,FALSE,0,0,0
,7,17/07/1994,,,,,FALSE,0,0,0
,8,09/07/1996,,,,,FALSE,0,0,0
,9,06/03/1996,,,,,FALSE,0,0,0
,10,09/07/1996,,,,,FALSE,0,0,0
,11,09/07/1996,,,,,FALSE,0,0,0
,12,20/11/1987,,,,,FALSE,0,0,0
,13,13/12/1996,,,,,FALSE,0,0,0
,14,13/03/1996,,,,,FALSE,0,0,0
,15,13/03/1996,,,,,FALSE,0,0,0
,16,13/12/1996,,,,,FALSE,0,0,0
,17,31/12/1996,,,,,FALSE,0,0,0
,18,31/12/1996,,,,,FALSE,0,0,0
,19,31/12/1996,,,,,FALSE,0,0,0
,20,05/06/1982,,,,,FALSE,0,0,0
,21,25/02/1983,,,,,FALSE,0,0,0
,22,07/06/1983,,,,,FALSE,0,0,0
,23,30/12/1982,,,,,FALSE,0,0,0
,24,25/06/1983,,,,,FALSE,0,0,0
,25,28/09/1983,,,,,FALSE,0,0,0
,26,22/10/1982,,,,,FALSE,0,0,0
,27,24/10/1982,,,,,FALSE,0,0,0
,28,16/09/1983,,,,,FALSE,0,0,0
,29,23/09/1983,,,,,FALSE,0,0,0
,30,19/02/1983,,,,,FALSE,0,0,0
,31,21/05/1983,,,,,FALSE,0,0,0
,32,23/02/1983,,,,,FALSE,0,0,0
,33,27/08/1982,,,,,FALSE,0,0,0
,34,07/01/1984,,,,,FALSE,0,0,0
,35,14/05/1984,,,,,FALSE,0,0,0
,36,23/08/1983,,,,,FALSE,0,0,0
,37,23/08/1983,,,,,FALSE,0,0,0
,38,12/06/1984,,,,,FALSE,0,0,0
,39,22/07/1984,,,,,FALSE,0,0,0
,40,03/02/1984,,,,,FALSE,0,0,0
,41,15/01/1985,,,,,FALSE,0,0,0
,42,24/12/1984,,,,,FALSE,0,0,0
,43,25/09/1986,,,,,FALSE,0,0,0
,44,04/08/1986,,,,,FALSE,0,0,0
,45,19/01/1987,,,,,FALSE,0,0,0
,46,23/01/1987,,,,,FALSE,0,0,0
,47,23/01/1987,,,,,FALSE,0,0,0
,48,05/03/1987,,,,,FALSE,0,0,0
,49,28/01/1987,,,,,FALSE,0,0,0
,50,04/02/1987,,,,,FALSE,0,0,0
,51,08/03/1987,,,,,FALSE,0,0,0
,52,09/03/1987,,,,,FALSE,0,0,0
,53,16/03/1987,,,,,FALSE,0,0,0
,54,18/03/1987,,,,,FALSE,0,0,0
,55,18/03/1987,,,,,FALSE,0,0,0
,56,26/03/1987,,,,,FALSE,0,0,0
,57,29/03/1987,,,,,FALSE,0,0,0
,58,30/03/1987,,,,,FALSE,0,0,0
,59,02/04/1987,,,,,FALSE,0,0,0
,60,15/04/1987,,,,,FALSE,0,0,0
,61,23/04/1987,,,,,FALSE,0,0,0
,62,25/04/1987,,,,,FALSE,0,0,0
,63,02/05/1987,,,,,FALSE,0,0,0
,64,16/08/1987,,,,,FALSE,0,0,0
,65,16/08/1987,,,,,FALSE,0,0,0
,66,27/08/1987,,,,,FALSE,0,0,0
,67,27/08/1987,,,,,FALSE,0,0,0
,68,28/08/1987,,,,,FALSE,0,0,0
,69,30/08/1987,,,,,FALSE,0,0,0
,70,01/09/1987,,,,,FALSE,0,0,0
,71,01/09/1987,,,,,FALSE,0,0,0
,72,08/09/1987,,,,,FALSE,0,0,0
,73,11/09/1987,,,,,FALSE,0,0,0
,74,13/09/1987,,,,,FALSE,0,0,0
,75,14/09/1987,,,,,FALSE,0,0,0
,76,16/09/1987,,,,,FALSE,0,0,0
,77,16/09/1987,,,,,FALSE,0,0,0
,78,20/09/1987,,,,,FALSE,0,0,0
,79,24/09/1987,,,,,FALSE,0,0,0
,80,09/10/1987,,,,,FALSE,0,0,0
,81,15/10/1987,,,,,FALSE,0,0,0
,82,17/10/1987,,,,,FALSE,0,0,0
,83,20/10/1987,,,,,FALSE,0,0,0
,84,21/10/1987,,,,,FALSE,0,0,0
,85,26/10/1987,,,,,FALSE,0,0,0
,86,12/11/1987,,,,,FALSE,0,0,0
,87,22/11/1987,,,,,FALSE,0,0,0
,88,24/11/1987,,,,,FALSE,0,0,0
,89,24/11/1987,,,,,FALSE,0,0,0
,90,26/11/1987,,,,,FALSE,0,0,0
,91,05/12/1985,,,,,FALSE,0,0,0
,92,12/11/1984,,,,,FALSE,0,0,0
,93,22/07/1984,,,,,FALSE,0,0,0
,94,22/07/1984,,,,,FALSE,0,0,0
,95,28/05/1985,,,,,FALSE,0,0,0
,96,28/02/1986,,,,,FALSE,0,0,0
,97,05/03/1986,,,,,FALSE,0,0,0
,98,31/05/1986,,,,,FALSE,0,0,0
,99,13/03/1986,,,,,FALSE,0,0,0
,100,29/07/1986,,,,,FALSE,0,0,0
,101,29/07/1986,,,,,FALSE,0,0,0
,102,05/08/1986,,,,,FALSE,0,0,0
,103,05/08/1986,,,,,FALSE,0,0,0
,104,10/08/1986,,,,,FALSE,0,0,0
,105,13/08/1986,,,,,FALSE,0,0,0
,106,16/09/1986,,,,,FALSE,0,0,0
,107,17/09/1986,,,,,FALSE,0,0,0
,108,06/09/1986,,,,,FALSE,0,0,0
,109,04/09/1985,,,,,FALSE,0,0,0
,110,28/08/1986,,,,,FALSE,0,0,0
,111,29/08/1986,,,,,FALSE,0,0,0
,112,31/08/1986,,,,,FALSE,0,0,0
,113,29/10/1988,,,,,FALSE,0,0,0
,114,29/10/1988,,,,,FALSE,0,0,0
,115,10/12/1988,,,,,FALSE,0,0,0
,116,10/12/1988,,,,,FALSE,0,0,0
224,117,25/01/1989,223,,,,FALSE,1,1,0
224,118,25/01/1989,223,,,,FALSE,1,1,0
244,119,25/01/1989,243,,,,FALSE,1,1,0
,120,24/01/1989,,,,,FALSE,0,0,0
242,121,08/02/1989,240,,,,FALSE,1,1,0
230,122,08/02/1989,246,,,,FALSE,1,1,0
1687,123,22/02/1989,245,,,,FALSE,1,1,0
1687,124,22/02/1989,245,,,,FALSE,1,1,0
227,125,14/06/1989,226,,,,FALSE,1,1,0
227,126,26/06/1989,226,,,,FALSE,1,1,0
227,127,15/03/1989,226,,,,FALSE,1,1,0
,128,09/04/1989,,,,,FALSE,0,0,0
244,129,20/04/1989,243,,,,FALSE,1,1,0
230,130,24/05/1989,246,,,,FALSE,1,1,0
224,131,19/07/1989,223,,,,FALSE,1,1,0
224,132,17/07/1989,223,,,,FALSE,1,1,0
235,133,19/07/1989,241,,,,FALSE,1,1,0
244,134,26/07/1989,243,,,,FALSE,1,1,0
244,135,26/07/1989,243,,,,FALSE,1,1,0
230,136,16/08/1989,246,,,,FALSE,1,1,0
239,137,20/09/1989,222,,,,FALSE,1,1,0
239,138,20/09/1989,222,,,,FALSE,1,1,0
235,139,30/08/1989,241,,,,FALSE,1,1,0
244,140,25/10/1989,243,,,,FALSE,1,1,0
224,141,08/11/1989,223,,,,FALSE,1,1,0
224,142,08/11/1989,223,,,,FALSE,1,1,0
227,143,22/11/1989,226,,,,FALSE,1,1,0
2925,144,15/11/1989,236,,,,FALSE,1,1,0
74,145,24/01/1990,234,,,,FALSE,1,1,0
74,146,24/01/1990,234,,,,FALSE,1,1,0
118,147,24/01/1990,231,,,,FALSE,1,1,0
61,148,07/02/1990,247,,,,FALSE,1,1,0
61,149,07/02/1990,247,,,,FALSE,1,1,0
,150,26/07/1989,,,,,FALSE,0,0,0
235,151,28/02/1990,241,,,,FALSE,1,1,0
235,152,28/02/1990,241,,,,FALSE,1,1,0
230,153,28/02/1990,246,,,,FALSE,1,1,0
117,154,28/02/1990,119,,,,FALSE,1,1,0
1687,155,07/03/1990,124,,,,FALSE,1,1,0
244,156,07/03/1990,243,,,,FALSE,1,1,0
244,157,07/03/1990,243,,,,FALSE,1,1,0
126,158,14/03/1990,123,,,,FALSE,1,1,0
224,159,07/02/1990,223,,,,FALSE,1,1,0
,160,16/12/1988,,,,,FALSE,0,0,0
,161,17/02/1989,,,,,FALSE,0,0,0
,162,11/03/1989,,,,,FALSE,0,0,0
,163,24/03/1988,,,,,FALSE,0,0,0
,164,02/09/1989,,,,,FALSE,0,0,0
,165,14/11/1989,,,,,FALSE,0,0,0
,166,19/12/1989,,,,,FALSE,0,0,0
,167,16/01/1989,,,,,FALSE,0,0,0
,168,15/07/1989,,,,,FALSE,0,0,0
,169,13/09/1988,,,,,FALSE,0,0,0
,170,15/07/1989,,,,,FALSE,0,0,0
,171,16/01/1989,,,,,FALSE,0,0,0
,172,15/07/1989,,,,,FALSE,0,0,0
,173,22/01/1990,,,,,FALSE,0,0,0
,174,13/09/1988,,,,,FALSE,0,0,0
,175,14/01/1990,,,,,FALSE,0,0,0
,176,13/09/1988,,,,,FALSE,0,0,0
,177,13/01/1990,,,,,FALSE,0,0,0
,178,13/09/1988,,,,,FALSE,0,0,0
118,179,16/05/1990,231,,,,FALSE,1,1,0
242,180,23/05/1990,240,,,,FALSE,1,1,0
244,181,20/06/1990,243,,,,FALSE,1,1,0
,182,27/06/1990,,,,,FALSE,0,0,0
224,183,04/07/1990,223,,,,FALSE,1,1,0
,184,26/11/1988,,,,,FALSE,0,0,0
,185,23/11/1988,,,,,FALSE,0,0,0
,186,13/11/1989,,,,,FALSE,0,0,0
,187,13/11/1989,,,,,FALSE,0,0,0
,188,02/10/1989,,,,,FALSE,0,0,0
,189,23/11/1988,,,,,FALSE,0,0,0
