id,mum,dad,p
335,1222,1287,1
436,500,494,0.999
439,800,42,0.698
440,NA,2843,0.706
441,NA,2843,0.733
442,NA,2764,0.351
443,NA,2764,0.396
444,464,25,1
445,500,494,1
446,233,173,0.402
447,NA,NA,0.526
448,NA,NA,0.518
449,207,65,1
450,800,NA,0.437
451,799,28,0.318
452,430,NA,0.528
453,NA,51,1
454,NA,2756,0.484
455,NA,215,0.349
456,NA,173,0.431
457,NA,2763,0.279
458,171,170,0.575
459,207,65,1
460,462,77,0.64
461,NA,77,0.82
462,NA,65,1
464,NA,216,0.91
465,NA,77,0.797
466,NA,453,0.938
467,NA,176,0.954
468,NA,176,1
469,NA,176,0.999
470,237,NA,0.492
471,237,NA,0.452
472,78,NA,0.501
473,NA,73,0.566
474,168,73,0.569
475,168,73,0.573
476,NA,208,0.473
477,NA,77,0.813
478,NA,73,0.545
479,NA,73,0.551
495,NA,NA,0.453
496,NA,446,0.953
497,NA,33,0.61
498,189,NA,0.323
499,NA,21,0.861
500,799,28,0.394
501,594,29,1
502,297,478,1
503,NA,54,0.583
504,2749,NA,0.552
505,2845,75,0.938
506,2845,75,0.937
507,294,NA,0.34
508,NA,331,0.997
509,82,NA,0.404
510,462,465,0.999
511,NA,NA,0.522
512,NA,216,0.993
521,628,498,0.81
522,NA,33,0.598
523,NA,33,0.349
524,NA,33,0.646
525,NA,NA,0.508
526,528,178,1
527,64,178,1
528,64,178,1
529,NA,NA,0.468
530,NA,NA,0.459
531,NA,73,0.624
539,NA,478,0.995
540,NA,446,0.345
541,NA,22,0.39
542,NA,208,1
543,NA,NA,0.626
544,NA,478,0.7
545,NA,NA,0.623
546,NA,NA,0.585
547,NA,NA,0.629
548,NA,NA,0.597
549,82,331,0.939
550,82,51,0.817
551,NA,75,0.362
552,NA,478,0.733
553,NA,NA,0.546
554,199,221,1
555,79,465,0.309
556,NA,77,0.54
557,NA,448,0.885
558,430,51,1
559,NA,331,0.999
560,NA,65,0.699
561,NA,NA,0.583
562,1859,1686,1
563,508,602,1
594,189,75,0.95
595,NA,473,0.914
596,297,478,1
597,NA,293,0.583
598,800,NA,0.353
599,297,298,1
600,294,NA,0.261
601,294,25,0.66
602,NA,75,0.996
603,NA,51,0.997
604,NA,NA,0.607
605,213,176,0.703
606,294,NA,0.362
607,NA,176,1
608,163,448,0.999
609,NA,NA,0.462
627,792,494,0.387
628,NA,438,0.296
629,NA,298,0.977
630,NA,1862,0.397
631,297,298,1
632,NA,NA,0.31
633,NA,73,0.704
634,NA,33,0.638
635,NA,331,0.556
636,NA,NA,0.605
637,NA,NA,0.624
638,NA,73,0.743
639,543,673,0.983
640,447,448,1
641,NA,NA,0.617
642,NA,73,0.601
663,213,331,0.961
664,464,448,0.996
665,NA,178,0.975
666,NA,NA,0.628
667,530,637,1
668,NA,544,1
669,476,NA,0.596
670,71,NA,0.589
671,71,208,0.936
672,NA,NA,0.488
673,NA,208,0.917
674,NA,NA,0.599
675,82,NA,0.475
676,NA,NA,0.504
677,NA,NA,0.617
678,NA,208,0.914
679,NA,465,0.995
680,217,331,0.634
681,NA,NA,0.482
774,NA,525,0.753
775,NA,NA,0.626
776,NA,637,0.638
823,NA,NA,0.365
824,NA,633,1
825,NA,1862,0.825
826,NA,21,1
827,213,176,0.912
828,466,51,1
830,522,NA,0.626
831,461,NA,0.516
832,NA,NA,0.538
833,297,478,0.991
834,168,632,1
835,451,446,0.801
836,171,NA,0.48
837,500,494,1
838,297,478,1
839,502,215,1
840,428,75,0.891
841,454,221,0.992
842,794,609,1
843,NA,NA,0.443
844,671,208,1
845,440,NA,0.604
846,NA,545,0.577
847,451,NA,0.622
848,464,65,1
849,NA,540,0.902
850,163,510,0.759
851,NA,674,0.478
852,NA,559,0.815
853,1017,NA,0.554
854,561,NA,0.602
855,297,NA,0.537
856,NA,173,0.369
857,531,NA,0.642
858,NA,NA,0.646
859,NA,NA,0.596
860,670,NA,0.568
861,505,470,1
862,543,545,1
863,450,21,0.893
864,NA,632,0.809
865,NA,NA,0.622
866,NA,642,0.999
867,823,562,1
868,169,507,0.95
869,561,467,1
870,NA,851,1
871,628,NA,0.722
872,NA,NA,0.443
873,NA,676,0.861
874,596,497,1
875,207,65,1
877,NA,NA,0.35
878,NA,NA,0.767
879,447,51,1
880,443,200,0.997
881,NA,498,0.572
884,469,467,0.997
885,172,1861,1
886,502,215,1
887,171,877,1
888,441,860,1
889,442,609,1
890,199,609,0.988
891,163,510,0.988
892,627,549,1
911,594,29,1
912,64,178,1
913,443,200,1
914,1859,609,0.869
915,444,293,1
916,468,465,0.993
917,469,453,0.98
918,171,602,1
919,163,510,0.988
920,213,176,0.956
921,459,465,0.999
922,NA,NA,0.621
923,440,44,1
924,792,494,0.999
925,598,NA,0.444
926,NA,499,0.594
927,NA,562,1
928,172,NA,0.683
929,199,609,1
930,NA,200,0.632
931,454,609,1
932,308,216,0.998
937,677,673,1
938,163,510,0.918
939,464,65,0.692
940,NA,559,0.996
941,543,540,1
942,663,NA,0.762
943,464,NA,0.656
944,524,856,0.996
945,168,831,1
946,474,857,0.992
947,560,NA,0.678
948,500,494,1
949,524,856,1
950,217,293,1
951,457,507,1
1015,NA,830,1
1016,823,562,1
1017,34,NA,0.305
1018,853,1862,1
1019,NA,881,0.965
1020,441,436,0.999
1021,NA,75,1
1022,NA,824,0.67
1023,511,51,1
1024,454,507,1
1025,308,216,1
1026,608,510,0.999
1027,459,176,1
1028,543,545,0.996
1029,217,836,1
1030,459,947,1
1031,168,605,0.998
1032,827,606,1
1033,297,1862,1
1034,912,922,1
1035,NA,NA,0.431
1036,542,673,1
1037,521,881,0.406
1038,561,467,1
1039,NA,NA,0.487
1040,1017,507,0.411
1041,NA,881,0.846
1042,1043,559,0.954
1043,598,42,0.992
1044,524,634,1
1045,503,470,1
1046,1017,605,0.977
1047,521,1037,0.743
1048,444,42,1
1049,500,494,1
1050,853,865,1
1051,858,857,1
1052,794,549,0.958
1053,199,609,1
1054,458,499,1
1055,930,NA,0.735
1056,641,637,1
1057,675,549,1
1058,449,947,0.999
1059,872,602,0.843
1060,675,549,0.993
1061,595,215,0.998
1062,835,860,1
1063,528,178,0.998
1130,163,510,1
1151,542,547,1
1152,199,609,1
1153,508,467,0.999
1154,855,877,0.994
1155,508,NA,0.623
1156,454,216,1
1157,454,221,1
1158,NA,881,0.982
1159,297,634,0.999
1160,450,629,1
1161,308,216,0.999
1162,500,494,1
1163,912,922,1
1164,502,293,1
1165,924,220,1
1166,NA,605,0.405
1167,450,629,1
1168,938,550,1
1169,558,557,1
1170,915,941,1
1171,542,547,1
1172,543,540,1
1173,677,673,1
1174,531,776,0.956
1175,641,637,1
1176,774,633,0.999
1177,NA,854,0.701
1178,NA,NA,0.409
1179,297,836,1
1180,938,547,0.997
1181,1182,851,1
1182,461,NA,0.736
1183,774,864,1
1184,604,1039,0.571
1185,862,854,0.993
1186,604,603,0.998
1187,596,497,1
1188,878,879,1
1189,NA,545,0.676
1190,942,331,0.996
1191,NA,633,0.943
1192,508,NA,0.621
1193,563,851,0.994
1194,NA,1018,0.999
1195,NA,854,0.779
1196,522,1015,1
1197,675,846,0.999
1198,NA,642,0.952
1199,862,854,0.989
1200,878,453,1
1201,543,540,0.964
1202,469,467,1
1203,466,51,1
1204,876,824,0.48
1205,NA,331,1
1207,628,1041,0.988
1208,845,941,0.907
1209,458,867,1
1210,930,867,1
1211,NA,547,0.833
1212,NA,1039,0.576
1213,455,1212,1
1214,503,470,1
1215,1043,559,0.992
1216,308,216,1
1217,531,849,0.587
1218,NA,547,0.987
1219,458,1039,0.999
1220,524,634,1
1221,1246,868,0.999
1222,927,501,1
1223,1043,1276,0.96
1224,838,215,0.876
1225,635,636,1
1226,835,1165,1
1227,880,436,1
1228,826,1212,0.993
1229,500,494,1
1230,469,467,0.995
1231,915,941,1
1232,169,890,0.887
1233,666,916,1
1234,168,854,0.706
1235,NA,1039,0.958
1236,912,922,1
1237,561,51,1
1238,479,866,1
1239,442,868,1
1240,NA,642,0.865
1241,641,637,1
1242,774,633,0.998
1243,862,857,1
1244,NA,216,0.598
1245,774,857,0.958
1246,NA,176,0.974
1247,NA,NA,0.329
1248,912,922,1
1262,474,884,1
1267,297,1862,1
1268,931,1040,1
1269,679,477,0.588
1270,1271,1395,1
1271,855,854,1
1272,855,854,0.999
1273,942,864,0.909
1274,560,NA,0.716
1275,608,510,0.999
1276,1182,851,1
1277,949,557,1
1278,171,602,1
1279,522,1174,1
1285,NA,544,0.648
1286,825,672,0.999
1287,441,1165,0.999
1288,635,636,0.999
1290,862,1198,1
1291,528,178,1
1292,528,1176,0.97
1293,522,629,0.997
1294,1173,1041,1
1295,1403,849,1
1296,670,1211,1
1297,1017,1018,1
1298,1049,636,0.999
1299,1218,916,0.764
1300,1299,1028,1
1301,530,637,1
1302,641,637,1
1303,NA,636,0.951
1304,677,1168,0.937
1305,1177,854,0.989
1306,561,1178,1
1345,455,507,0.997
1346,NA,523,0.462
1347,NA,860,0.39
1348,930,495,1
1349,596,200,0.99
1355,168,884,1
1356,832,1041,1
1357,853,865,1
1358,1019,494,0.57
1359,444,1166,1
1360,630,1041,1
1361,628,1041,0.999
1362,199,609,1
1363,1049,776,1
1364,1173,1159,0.999
1365,869,453,0.996
1366,1158,1041,0.916
1367,912,922,1
1368,932,216,1
1369,459,947,1
1370,308,216,0.999
1371,454,216,0.996
1380,561,467,0.999
1381,NA,847,0.98
1382,679,477,0.956
1383,604,1039,0.427
1384,1246,609,0.997
1385,604,216,1
1386,511,NA,0.51
1387,308,1274,1
1388,1386,1274,1
1389,457,868,0.568
1390,NA,1274,0.914
1391,596,200,1
1392,172,1020,0.729
1393,1345,215,1
1394,832,1041,1
1395,1177,824,0.677
1396,469,467,0.83
1397,1347,494,1
1398,845,674,1
1399,845,674,1
1400,1401,605,1
1401,601,1018,0.998
1402,1186,890,1
1403,531,776,1
1404,454,221,1
1405,859,929,1
1406,1403,849,1
1407,1026,1032,1
1408,1017,1018,1
1409,840,597,1
1410,502,215,1
1411,1240,890,0.896
1412,457,868,1
1413,927,501,1
1414,447,1203,0.511
1415,441,1165,0.993
1416,1271,605,1
1417,825,672,1
1418,912,922,1
1419,912,922,1
1420,1347,494,0.986
1421,1345,215,1
1422,1049,632,1
1423,447,1203,0.999
1424,774,1198,1
1425,1403,849,1
1426,522,1360,1
1427,862,917,1
1428,524,865,1
1429,915,847,1
1430,1172,1171,1
1431,561,467,1
1432,504,44,1
1433,1222,501,0.994
1434,880,1047,0.998
1435,853,865,1
1436,524,865,1
1437,1017,1018,1
1438,1155,1154,1
1439,932,1274,1
1440,1177,1243,1
1441,915,1412,1
1485,823,562,1
1486,601,506,1
1487,914,1040,0.996
1488,628,NA,0.567
1489,1042,453,1
1490,1173,1041,0.999
1491,169,890,0.929
1492,542,544,0.778
1493,835,1031,1
1494,845,1276,1
1495,1200,1156,1
1496,1160,1047,1
1497,1304,668,1
1498,666,1028,1
1499,670,1381,1
1500,442,609,1
1501,826,216,0.981
1502,1517,1062,1
1503,1186,1184,1
1504,1404,507,1
1505,NA,911,0.547
1506,1200,1156,0.991
1507,1271,506,0.997
1508,168,1045,1
1509,925,1287,1
1510,1247,1020,0.999
1511,840,597,1
1512,951,1196,1
1513,1244,467,1
1514,1059,494,1
1515,444,1166,1
1516,1437,1279,0.878
1517,639,208,1
1518,1401,1185,1
1519,912,922,0.881
1520,502,1164,1
1521,826,1213,0.999
1522,1409,1209,1
1523,949,557,1
1524,938,1028,1
1525,1432,922,1
1526,504,497,1
1527,1403,849,1
1528,1304,668,1
1529,1403,849,1
1530,1410,436,1
1531,949,557,1
1532,596,911,1
1533,677,1028,1
1534,853,865,1
1535,168,1018,1
1536,1017,1018,1
1537,825,1286,1
1538,459,607,0.889
1539,459,176,0.97
1540,869,1178,1
1541,459,1290,1
1542,1022,1199,0.999
1543,199,609,1
1544,441,1165,0.997
1545,1432,1187,0.985
1546,596,497,0.998
1547,1024,676,1
1548,1024,676,1
1549,1042,176,1
1550,1218,886,1
1551,869,1178,1
1552,1369,1032,1
1553,604,1274,1
1554,932,1274,0.978
1555,199,609,1
1556,1369,1032,1
1557,604,921,1
1558,466,51,1
1559,458,499,1
1560,823,499,1
1561,1386,216,1
1562,522,629,0.999
1563,450,634,1
1564,297,634,1
1565,441,1167,1
1566,1160,1179,0.998
1567,NA,1243,0.311
1568,663,1154,1
1569,NA,1198,1
1570,627,467,1
1571,1042,176,0.984
1572,1369,1032,1
1573,476,917,0.559
1574,308,921,1
1575,1186,1188,1
1576,859,929,0.999
1577,308,1274,1
1578,862,917,1
1579,1170,1063,1
1580,1403,525,1
1581,1161,525,1
1582,1161,849,1
1583,951,1196,0.999
1584,848,1370,1
1585,595,495,1
1586,503,1214,1
1587,NA,1191,0.519
1588,1382,847,1
1589,1382,847,1
1590,826,1274,1
1591,1059,1020,0.999
1592,853,629,0.997
1593,1017,1018,0.98
1594,1415,1165,1
1595,1271,1395,1
1596,168,1045,1
1597,774,1198,1
1598,1195,1279,1
1599,1501,890,0.996
1600,524,865,1
1601,925,1287,1
1602,912,1187,1
1603,NA,NA,0.49
1604,1247,494,1
1605,1222,494,1
1606,595,495,1
1607,1222,494,1
1608,1247,494,1
1609,1177,1395,1
1610,1170,917,1
1611,639,1028,1
1612,949,557,1
1613,845,1276,1
1614,912,1348,1
1615,1130,1356,1
1616,1384,1370,1
1617,858,1063,1
1618,832,1435,0.999
1619,1436,1381,1
1620,823,1268,1
1621,1017,1018,1
1622,1193,602,0.999
1623,840,497,1
1624,NA,1495,0.718
1660,1605,497,0.999
1661,840,911,0.998
1662,1771,1187,1
1663,1490,1031,1
1664,1490,1031,1
1665,1059,494,1
1666,NA,1040,0.626
1667,1218,1542,1
1668,826,1213,0.999
1669,1503,1209,1
1670,NA,453,0.744
1671,459,1670,1
1672,1043,NA,0.626
1673,1409,1543,1
1674,1617,NA,0.629
1675,1589,929,1
1676,NA,1577,0.778
1677,1588,1587,1
1678,1588,1581,1
1679,1588,1581,1
1680,845,1276,1
1681,845,1276,1
1682,869,1188,1
1683,1271,1593,1
1684,927,501,1
1685,1049,NA,0.643
1695,NA,1577,0.379
