id	dam	sire	LLRdam	LLRsire	LLRpair	OHdam	OHsire	MEpair
5267	3518	3454	2.49	5.44	11.69	0	0	0
1533	677	1028	-2.28	13.14	4.95	0	0	0
4938	1791	1509	23.51	1.87	24.19	0	0	0
5290	5079	1867	3.21	0.8	23.95	0	0	0
5498	4868	1886	-7.79	26.16	-0.28	0	0	0
5499	3451	1801	-3.94	8.24	16.44	0	0	0
5588	4964	1661	-1.4	14.52	13.04	0	0	3
5595	1707	1604	2.21	8.5	17.94	0	0	0
5602	1580	1542	5.21	1.15	10.44	0	0	2
5604	5284	1762	13.83	17.5	22.01	0	0	0
5619	NA	3689	NA	2.69	NA	NA	0	NA
5613	3518	3486	3.91	3.55	12.62	0	0	0
5599	4973	1868	45.41	29.05	17.15	0	0	0
4943	3490	3087	22.67	6.98	31.82	0	0	0
5611	4973	1868	52.87	41.38	13.05	0	0	0
5597	1716	1877	0.47	12.12	21.5	0	0	0
5598	NA	NA	NA	NA	NA	NA	NA	NA
5606	5324	3458	24.42	9.5	21.58	0	0	0
5641	1508	5077	3.49	7	21.17	0	0	1
5632	5173	5291	0.39	25.71	20.92	0	0	0
5638	NA	5281	NA	7.28	NA	NA	0	NA
5654	3491	5283	20.75	6.18	5.61	0	0	0
5651	5592	1611	-0.46	-9.19	16.97	1	3	4
5652	5466	5602	-17.71	3.54	12.97	0	1	3
4951	3567	1604	0.26	1.98	10.76	0	0	0
5657	3567	5285	5.26	4.1	19.49	0	0	2
5656	3606	1869	22.01	7.56	10.24	0	0	1
5658	4999	5072	6.68	9.14	24.43	1	0	1
5681	1826	2972	2.92	-3.96	3.74	0	1	1
5684	5267	1027	8.65	9.3	11.3	0	1	3
5686	5217	5000	20.76	11.65	34.33	0	0	0
5635	1826	1804	13.26	0.42	19.34	0	2	2
5750	1826	3456	12.68	4.97	14.87	0	0	0
5508	4896	2990	16.87	13.61	16.47	0	0	4
5748	3608	5237	-11.84	27.09	17.87	0	0	0
5000	3002	1581	37.21	0.16	30.13	0	0	0
5144	3608	1553	6.49	20.11	22.84	0	0	0
5753	4862	1731	-3.69	9.61	11.21	2	0	3
5516	1864	1542	25.07	3.26	9.27	0	0	0
5167	677	1897	2.44	-0.26	2.7	0	0	3
5532	4965	1616	-4.64	14.56	10.27	0	0	0
5757	5532	5515	9.39	19.25	9.76	0	0	0
5758	1864	5275	26.77	-4.36	13.21	0	0	1
3462	1403	1533	-3.16	7.04	15.13	0	0	0
5760	2978	3089	5.18	12.07	28.14	0	0	0
3093	1852	1358	14.16	-14.58	1.8	0	0	0
5171	1678	1412	0.99	3.72	19.28	0	0	0
5515	2985	842	15.52	4.2	15.17	0	1	3
1791	1172	544	19.76	18.07	39.03	0	0	0
5335	4896	2990	11.93	6.85	16.95	0	0	0
5240	3699	1808	21.05	6.24	19.2	0	0	0
5628	2968	5240	11.1	29.42	17.21	0	0	3
5765	NA	5335	NA	14.81	NA	NA	0	NA
5766	5337	5508	5.8	4.17	30.03	0	0	1
5767	5524	4860	-5.59	-6.24	6.33	0	0	0
4860	3514	NA	-0.52	NA	NA	0	NA	NA
5524	3608	1553	2.27	14.11	19.82	0	0	0
2960	1369	1744	17.63	7.68	25.29	0	0	0
5768	5533	5547	11.38	-8.98	5.93	0	0	3
5775	1716	5334	2.51	23.78	25.25	0	0	0
5776	NA	5121	NA	18	NA	NA	0	NA
2968	459	176	-0.54	0.49	12.48	0	1	2
5319	1439	1727	19.55	-1.17	9.52	0	0	4
3490	1501	1773	6.04	20.86	24.37	0	0	0
2978	1892	1356	14.07	17.38	18.22	0	0	0
3089	1617	1610	5.18	3.62	10.9	0	0	3
1731	NA	22	NA	5.82	NA	NA	0	NA
1864	1503	1209	-0.21	9.88	9.54	0	0	0
1509	925	1287	0.83	9.89	26.85	0	1	1
5522	1757	1616	-9.34	6.13	14.73	0	0	0
5785	3453	5523	2.83	-15.98	7.62	0	0	0
3456	1580	1512	10.55	-13.77	15.97	0	0	0
4890	1510	2966	8.18	-2.2	8.63	0	0	0
5275	1803	1356	-12.54	24.58	17.11	0	0	0
5525	5163	5072	9.27	13.04	22.66	0	0	0
5072	2985	1752	1.01	-2.46	11.02	0	0	1
3085	1763	1287	13.44	26.45	1.54	0	0	1
1605	1222	494	-7.49	2.1	8.81	0	0	1
5547	3596	1512	13.02	8.41	3.08	0	0	3
5198	3462	1242	12.17	4.61	8.14	0	1	3
3453	NA	510	NA	18.18	NA	NA	0	NA
5523	1757	1616	14.11	-4.29	28.4	0	0	0
1801	845	1494	4.34	19.44	116.67	0	0	3
5518	3590	1750	3.6	1.35	7.43	0	0	0
5456	4958	4888	15.98	6.71	15.85	0	0	0
3608	1705	1750	9.99	1.52	8.03	0	0	0
5237	4896	2990	26.07	12.73	32.35	0	0	1
5283	2963	1713	-6.83	19.4	-2.62	0	2	4
5549	3017	4934	6.81	18.55	0.07	2	0	4
5854	5549	5522	-3.25	8.49	10.6	0	0	0
1412	951	868	-0.93	-7.88	3.37	0	0	3
5842	3595	1877	3.6	29.46	24.59	0	0	0
5843	4896	3460	18.6	0.27	6.22	0	1	1
3567	1757	1523	11.33	6.51	19.02	0	0	0
5779	5514	5321	-3.46	23.24	19.63	0	0	0
1710	524	1566	10.24	22.6	17.74	0	0	0
1604	1247	NA	8.43	NA	NA	0	NA	NA
6010	3461	3460	1.02	9.31	13.28	0	0	1
4965	3094	1739	12.87	2.43	9.57	0	0	0
3606	3094	1515	-0.12	-0.84	6.03	0	1	3
5545	2989	1710	8.37	22.89	64.56	0	0	0
3451	NA	NA	NA	NA	NA	NA	NA	NA
4957	2982	1427	7.16	7.58	7.56	0	0	3
6018	3086	NA	21.99	NA	NA	0	NA	NA
1729	604	1221	-3.73	-14.67	17.97	0	2	2
6023	5613	5779	11.02	18.98	36.18	0	0	0
1678	1588	NA	22.24	NA	NA	0	NA	NA
6025	5525	5513	4.76	8.38	30.02	0	0	0
5575	5168	1731	5.64	4.78	14.09	0	0	2
5559	5157	3000	-0.31	7.79	6.16	0	3	4
5249	1782	1881	17.93	-13.23	25.12	0	0	1
5514	5320	1029	11.55	-6.84	11.61	0	0	0
4904	1854	1029	7.98	8.48	13.36	0	0	0
5292	3022	1682	8.3	3.3	22.38	0	0	0
5321	3453	1744	2.37	9.52	1.03	0	0	0
5217	3596	4918	13.38	-0.78	19.13	0	1	2
4892	3505	1774	31.47	1.69	18.65	0	0	0
6048	1678	5291	8.38	11.74	27.05	0	0	0
6046	5635	5595	18.82	10.89	20.19	0	0	0
4999	1757	1523	3.16	0.64	4.41	0	0	0
5513	4973	2990	1.19	4.32	25.43	0	0	0
5173	1678	3696	7.98	-29.39	32.03	0	0	0
1826	1536	1787	3.18	24.24	16.75	0	0	0
1607	1222	494	9.13	-9.38	13.61	0	0	0
5564	1872	1881	6.63	2.45	16.69	2	0	2
6061	5630	2966	7.02	5.24	16.45	0	0	0
1869	832	1604	3.16	12.12	16.11	0	0	0
3087	1736	888	-0.93	1.49	10.61	0	1	3
6067	5766	4890	-0.91	1.99	20.85	0	0	0
6142	5604	1607	11.59	19.12	26.7	0	0	0
6143	5657	5775	24.58	3.56	-3.48	0	0	0
3094	1510	1523	-0.04	10.76	16.48	0	0	0
6146	5451	5522	12.87	8.46	18.28	0	0	0
6148	5575	6018	7.16	1.85	14.64	0	0	0
5624	5533	5167	4.75	7.34	21.4	0	0	0
4973	1384	1553	11.86	19.77	-2.35	0	0	0
1868	1384	1553	12.94	11.09	25.5	0	0	0
6161	4896	1881	20.54	-10.2	15.98	0	0	0
4896	1779	1796	5.11	-0.52	17.28	0	0	0
6153	5611	5508	7.72	-13.76	13.18	0	0	0
4917	1826	NA	13.55	NA	NA	0	NA	NA
4972	NA	NA	NA	NA	NA	NA	NA	NA
1824	1612	1287	-3.69	24.7	8.74	0	0	2
6175	5546	1762	14.84	5.65	1.52	0	0	0
5128	1789	1801	11.15	13.44	21.29	0	0	0
6172	5769	5559	7.97	6.94	28.49	0	0	0
5132	3698	3457	20.83	-1.12	19.9	0	0	0
6191	6048	4957	17.75	14.07	13.14	0	0	0
6190	5842	5333	-0.86	9.73	27.12	0	0	0
3595	1893	1871	18.96	2.05	12.48	0	0	1
6195	5132	5498	4.15	3.88	15.89	0	0	0
1881	NA	1785	NA	29.11	NA	NA	0	NA
6204	5641	5776	5.43	-2.62	0.65	0	0	0
6206	5630	5547	4.69	3.75	10.82	0	0	3
6207	5545	5638	8.84	-6.8	23.26	0	0	0
4958	1172	1171	9.22	7.6	23.77	0	0	0
6217	5843	5588	-8.98	20.26	23.42	0	0	0
6171	1294	1750	17.98	-6.88	-13.6	0	2	4
6221	5597	5602	5.64	6.56	24.3	0	0	0
6212	5564	4892	-13.45	15.31	14.51	0	0	0
5851	5518	5456	-2.34	28.13	21.96	0	0	0
5769	5166	5526	9.59	-1.28	2.65	0	3	4
5333	1857	3618	10.14	4.79	19.59	0	0	0
6220	5128	5606	-1.3	2.26	21.27	0	0	0
5853	4958	5520	8.95	-0.37	12.9	0	2	4
5291	1043	3696	0.39	5.23	11.45	0	0	0
3024	1791	1509	23.2	23.73	44.62	0	0	0
1822	938	1381	17.77	-6.31	7.94	0	0	0
1768	1361	1590	1.16	25.32	29.68	0	0	0
3010	1740	1729	9.7	10.81	21.43	0	0	0
1775	NA	1615	NA	5.79	NA	NA	1	NA
6549	3085	6045	-5.23	4.49	7.78	0	0	0
6240	5543	6033	-4.59	-14.7	20.91	0	0	0
1048	444	42	-6.27	0.94	13.67	0	0	0
924	NA	509	NA	21.69	NA	NA	0	NA
6573	NA	NA	NA	NA	NA	NA	NA	NA
65	NA	NA	NA	NA	NA	NA	NA	NA
6312	3451	6196	-0.68	22.74	8.2	0	0	0
1515	444	1166	3.18	11.11	28.76	0	0	0
6276	5635	5462	11	17.39	24.96	0	0	0
1049	500	494	-0.55	23.38	21.47	0	0	0
6571	6229	6155	-12.94	-5.96	21.94	0	0	0
1367	912	922	14.76	11.65	30.03	0	0	0
6660	6036	6163	17.05	5.67	22.23	0	0	0
563	508	602	-2.96	20.46	16.87	0	0	0
1720	1532	911	3.8	12.15	11.41	0	0	0
6777	6034	2966	9	8.35	33.66	0	0	0
6279	5657	1762	-0.85	5.91	23.13	0	0	0
6859	6690	6385	-10.99	-0.5	3.45	0	0	0
6909	NA	NA	NA	NA	NA	NA	NA	NA
1878	862	1524	-1.69	21.71	34.17	0	0	0
1739	1439	439	28.42	14.63	-4.49	0	0	4
3003	639	1695	4.06	8.1	5.63	0	0	3
