BirdID,FinalStage,LayYear,LayYearEstimated,BirthDate,BirthFieldPeriodID,BirthDateEstimated,DeathYear,DeathMonth,DeathDay,DeathStatus,DeathType,Remarks,DoNotEditMe,MergeStatus
-1,A,,FALSE,,,FALSE,,,,,,Unknown individual,1945145087,
0,A,,FALSE,,,FALSE,,,,,,Unringed individual,-1597434369,
1,A,1996,TRUE,04/11/1996,53,TRUE,1997,,,,,,152797439,
2,A,,FALSE,01/01/1999,53,TRUE,,,,,,,1938833407,
3,A,1996,TRUE,04/11/1996,53,TRUE,,,,,,,-101842177,
4,A,1996,TRUE,04/11/1996,53,TRUE,,,,,,,94419455,
5,A,1995,TRUE,29/02/1996,18,TRUE,,,,,,,908367103,
6,A,1995,TRUE,02/03/1996,18,TRUE,,,,,,,432342015,
7,A,1993,TRUE,17/07/1994,72,TRUE,,,,,,,-1084246273,
8,A,1996,TRUE,09/07/1996,20,TRUE,,,,,,,-853828097,
9,A,1995,TRUE,06/03/1996,18,TRUE,,,,,,,-666638081,
10,A,1996,TRUE,09/07/1996,20,TRUE,,,,,,,-1984493569,
11,A,1996,TRUE,09/07/1996,20,TRUE,,,,,,,-1399215361,
12,A,,FALSE,20/11/1987,9,TRUE,,,,,,,-1908555265,
13,A,1996,TRUE,13/12/1996,20,TRUE,,,,,,,980253951,
14,A,1995,TRUE,13/03/1996,18,TRUE,,,,,,,-1299559425,
15,A,1995,TRUE,13/03/1996,18,TRUE,,,,,,,-2077237505,
16,A,1996,TRUE,13/12/1996,20,TRUE,1998,,,E,U,,1363879423,
17,A,,FALSE,31/12/1996,20,TRUE,,,,,,,1406488831,
18,A,,FALSE,31/12/1996,20,TRUE,,,,,,,2124599295,
19,A,,FALSE,31/12/1996,20,TRUE,,,,,,,385241855,
20,A,1983,TRUE,05/06/1982,2,TRUE,,,,,,,-205010433,
21,A,1983,TRUE,25/02/1983,2,TRUE,,,,,,,-1678809857,
22,A,1983,TRUE,07/06/1983,3,TRUE,,,,,,,1470403583,
23,A,1982,TRUE,30/12/1982,2,TRUE,,,,,,,-1207892225,
